Continent,Country,Year,Month,Air,Sea,Total,Date
AFRICA,Algeria,2019,Jan,19,1,20,2019-01-01
AFRICA,Algeria,2019,Feb,15,0,15,2019-02-01
AFRICA,Algeria,2019,Mar,26,0,26,2019-03-01
AFRICA,Algeria,2019,Apr,33,0,33,2019-04-01
AFRICA,Algeria,2019,May,7,0,7,2019-05-01
AFRICA,Algeria,2019,Jun,22,0,22,2019-06-01
AFRICA,Algeria,2019,Jul,22,0,22,2019-07-01
AFRICA,Algeria,2019,Aug,57,0,57,2019-08-01
AFRICA,Algeria,2019,Sep,38,0,38,2019-09-01
AFRICA,Algeria,2019,Oct,36,1,37,2019-10-01
AFRICA,Algeria,2019,Nov,42,0,42,2019-11-01
AFRICA,Algeria,2019,Dec,31,2,33,2019-12-01
AFRICA,Angola,2019,Jan,30,0,30,2019-01-01
AFRICA,Angola,2019,Feb,56,1,57,2019-02-01
AFRICA,Angola,2019,Mar,101,0,101,2019-03-01
AFRICA,Angola,2019,Apr,67,0,67,2019-04-01
AFRICA,Angola,2019,May,38,0,38,2019-05-01
AFRICA,Angola,2019,Jun,9,0,9,2019-06-01
AFRICA,Angola,2019,Jul,60,12,72,2019-07-01
AFRICA,Angola,2019,Aug,54,0,54,2019-08-01
AFRICA,Angola,2019,Sep,32,0,32,2019-09-01
AFRICA,Angola,2019,Oct,42,4,46,2019-10-01
AFRICA,Angola,2019,Nov,30,0,30,2019-11-01
AFRICA,Angola,2019,Dec,91,0,91,2019-12-01
AFRICA,Benin,2019,Jan,3,1,4,2019-01-01
AFRICA,Benin,2019,Feb,10,0,10,2019-02-01
AFRICA,Benin,2019,Mar,4,0,4,2019-03-01
AFRICA,Benin,2019,Apr,15,0,15,2019-04-01
AFRICA,Benin,2019,May,8,2,10,2019-05-01
AFRICA,Benin,2019,Jun,2,0,2,2019-06-01
AFRICA,Benin,2019,Jul,6,0,6,2019-07-01
AFRICA,Benin,2019,Aug,14,0,14,2019-08-01
AFRICA,Benin,2019,Sep,9,0,9,2019-09-01
AFRICA,Benin,2019,Oct,14,1,15,2019-10-01
AFRICA,Benin,2019,Nov,5,0,5,2019-11-01
AFRICA,Benin,2019,Dec,1,0,1,2019-12-01
AFRICA,Botswana,2019,Jan,79,0,79,2019-01-01
AFRICA,Botswana,2019,Feb,57,0,57,2019-02-01
AFRICA,Botswana,2019,Mar,60,0,60,2019-03-01
AFRICA,Botswana,2019,Apr,152,0,152,2019-04-01
AFRICA,Botswana,2019,May,89,0,89,2019-05-01
AFRICA,Botswana,2019,Jun,45,0,45,2019-06-01
AFRICA,Botswana,2019,Jul,326,0,326,2019-07-01
AFRICA,Botswana,2019,Aug,200,0,200,2019-08-01
AFRICA,Botswana,2019,Sep,141,0,141,2019-09-01
AFRICA,Botswana,2019,Oct,114,0,114,2019-10-01
AFRICA,Botswana,2019,Nov,67,1,68,2019-11-01
AFRICA,Botswana,2019,Dec,183,0,183,2019-12-01
AFRICA,Burundi,2019,Jan,5,0,5,2019-01-01
AFRICA,Burundi,2019,Feb,1,0,1,2019-02-01
AFRICA,Burundi,2019,Mar,7,0,7,2019-03-01
AFRICA,Burundi,2019,Apr,12,0,12,2019-04-01
AFRICA,Burundi,2019,May,8,0,8,2019-05-01
AFRICA,Burundi,2019,Jun,16,0,16,2019-06-01
AFRICA,Burundi,2019,Jul,10,0,10,2019-07-01
AFRICA,Burundi,2019,Aug,20,0,20,2019-08-01
AFRICA,Burundi,2019,Sep,5,0,5,2019-09-01
AFRICA,Burundi,2019,Oct,3,0,3,2019-10-01
AFRICA,Burundi,2019,Nov,7,0,7,2019-11-01
AFRICA,Burundi,2019,Dec,16,0,16,2019-12-01
AFRICA,Cameroon,2019,Jan,27,0,27,2019-01-01
AFRICA,Cameroon,2019,Feb,41,0,41,2019-02-01
AFRICA,Cameroon,2019,Mar,22,0,22,2019-03-01
AFRICA,Cameroon,2019,Apr,32,0,32,2019-04-01
AFRICA,Cameroon,2019,May,38,0,38,2019-05-01
AFRICA,Cameroon,2019,Jun,24,0,24,2019-06-01
AFRICA,Cameroon,2019,Jul,45,0,45,2019-07-01
AFRICA,Cameroon,2019,Aug,58,0,58,2019-08-01
AFRICA,Cameroon,2019,Sep,44,0,44,2019-09-01
AFRICA,Cameroon,2019,Oct,52,0,52,2019-10-01
AFRICA,Cameroon,2019,Nov,40,0,40,2019-11-01
AFRICA,Cameroon,2019,Dec,50,0,50,2019-12-01
AFRICA,Comoros,2019,Jan,41,0,41,2019-01-01
AFRICA,Comoros,2019,Feb,78,0,78,2019-02-01
AFRICA,Comoros,2019,Mar,112,0,112,2019-03-01
AFRICA,Comoros,2019,Apr,67,0,67,2019-04-01
AFRICA,Comoros,2019,May,70,0,70,2019-05-01
AFRICA,Comoros,2019,Jun,120,0,120,2019-06-01
AFRICA,Comoros,2019,Jul,338,0,338,2019-07-01
AFRICA,Comoros,2019,Aug,68,0,68,2019-08-01
AFRICA,Comoros,2019,Sep,95,0,95,2019-09-01
AFRICA,Comoros,2019,Oct,72,0,72,2019-10-01
AFRICA,Comoros,2019,Nov,153,0,153,2019-11-01
AFRICA,Comoros,2019,Dec,90,1,91,2019-12-01
