Continent,Country,Year,Month,Air,Sea,Total,Date
AFRICA,Algeria,2023,Jan,44,0,44,2023-01-01
AFRICA,Algeria,2023,Feb,13,0,13,2023-02-01
AFRICA,Algeria,2023,Mar,21,0,21,2023-03-01
AFRICA,Algeria,2023,Apr,9,0,9,2023-04-01
AFRICA,Algeria,2023,May,27,0,27,2023-05-01
AFRICA,Algeria,2023,Jun,27,0,27,2023-06-01
AFRICA,Algeria,2023,Jul,22,0,22,2023-07-01
AFRICA,Algeria,2023,Aug,41,0,41,2023-08-01
AFRICA,Algeria,2023,Sep,38,0,38,2023-09-01
AFRICA,Algeria,2023,Oct,20,0,20,2023-10-01
AFRICA,Algeria,2023,Nov,33,0,33,2023-11-01
AFRICA,Algeria,2023,Dec,22,0,22,2023-12-01
AFRICA,Angola,2023,Jan,24,0,24,2023-01-01
AFRICA,Angola,2023,Feb,27,0,27,2023-02-01
AFRICA,Angola,2023,Mar,16,0,16,2023-03-01
AFRICA,Angola,2023,Apr,43,7,50,2023-04-01
AFRICA,Angola,2023,May,35,0,35,2023-05-01
AFRICA,Angola,2023,Jun,12,1,13,2023-06-01
AFRICA,Angola,2023,Jul,25,3,28,2023-07-01
AFRICA,Angola,2023,Aug,49,3,52,2023-08-01
AFRICA,Angola,2023,Sep,24,0,24,2023-09-01
AFRICA,Angola,2023,Oct,18,1,19,2023-10-01
AFRICA,Angola,2023,Nov,112,0,112,2023-11-01
AFRICA,Angola,2023,Dec,40,3,43,2023-12-01
AFRICA,Benin,2023,Jan,1,0,1,2023-01-01
AFRICA,Benin,2023,Feb,3,0,3,2023-02-01
AFRICA,Benin,2023,Mar,6,0,6,2023-03-01
AFRICA,Benin,2023,Apr,6,0,6,2023-04-01
AFRICA,Benin,2023,May,3,0,3,2023-05-01
AFRICA,Benin,2023,Jun,0,0,0,2023-06-01
AFRICA,Benin,2023,Jul,15,0,15,2023-07-01
AFRICA,Benin,2023,Aug,4,0,4,2023-08-01
AFRICA,Benin,2023,Sep,5,0,5,2023-09-01
AFRICA,Benin,2023,Oct,7,1,8,2023-10-01
AFRICA,Benin,2023,Nov,9,0,9,2023-11-01
AFRICA,Benin,2023,Dec,4,0,4,2023-12-01
AFRICA,Botswana,2023,Jan,80,0,80,2023-01-01
AFRICA,Botswana,2023,Feb,56,0,56,2023-02-01
AFRICA,Botswana,2023,Mar,55,0,55,2023-03-01
AFRICA,Botswana,2023,Apr,95,0,95,2023-04-01
AFRICA,Botswana,2023,May,86,0,86,2023-05-01
AFRICA,Botswana,2023,Jun,46,0,46,2023-06-01
AFRICA,Botswana,2023,Jul,92,0,92,2023-07-01
AFRICA,Botswana,2023,Aug,155,0,155,2023-08-01
AFRICA,Botswana,2023,Sep,121,0,121,2023-09-01
AFRICA,Botswana,2023,Oct,105,0,105,2023-10-01
AFRICA,Botswana,2023,Nov,79,0,79,2023-11-01
AFRICA,Botswana,2023,Dec,145,15,160,2023-12-01
AFRICA,Burundi,2023,Jan,7,0,7,2023-01-01
AFRICA,Burundi,2023,Feb,8,0,8,2023-02-01
AFRICA,Burundi,2023,Mar,4,0,4,2023-03-01
AFRICA,Burundi,2023,Apr,8,0,8,2023-04-01
AFRICA,Burundi,2023,May,6,0,6,2023-05-01
AFRICA,Burundi,2023,Jun,25,0,25,2023-06-01
AFRICA,Burundi,2023,Jul,13,0,13,2023-07-01
AFRICA,Burundi,2023,Aug,9,0,9,2023-08-01
AFRICA,Burundi,2023,Sep,9,0,9,2023-09-01
AFRICA,Burundi,2023,Oct,14,0,14,2023-10-01
AFRICA,Burundi,2023,Nov,4,0,4,2023-11-01
AFRICA,Burundi,2023,Dec,10,0,10,2023-12-01
AFRICA,Cameroon,2023,Jan,32,0,32,2023-01-01
AFRICA,Cameroon,2023,Feb,38,0,38,2023-02-01
AFRICA,Cameroon,2023,Mar,37,0,37,2023-03-01
AFRICA,Cameroon,2023,Apr,53,0,53,2023-04-01
AFRICA,Cameroon,2023,May,36,0,36,2023-05-01
AFRICA,Cameroon,2023,Jun,42,0,42,2023-06-01
AFRICA,Cameroon,2023,Jul,62,0,62,2023-07-01
AFRICA,Cameroon,2023,Aug,55,0,55,2023-08-01
AFRICA,Cameroon,2023,Sep,37,0,37,2023-09-01
AFRICA,Cameroon,2023,Oct,50,0,50,2023-10-01
AFRICA,Cameroon,2023,Nov,40,0,40,2023-11-01
AFRICA,Cameroon,2023,Dec,38,0,38,2023-12-01
AFRICA,Comoros,2023,Jan,66,1,67,2023-01-01
AFRICA,Comoros,2023,Feb,82,0,82,2023-02-01
AFRICA,Comoros,2023,Mar,76,0,76,2023-03-01
AFRICA,Comoros,2023,Apr,69,0,69,2023-04-01
AFRICA,Comoros,2023,May,62,0,62,2023-05-01
AFRICA,Comoros,2023,Jun,57,1,58,2023-06-01
AFRICA,Comoros,2023,Jul,59,0,59,2023-07-01
AFRICA,Comoros,2023,Aug,47,0,47,2023-08-01
AFRICA,Comoros,2023,Sep,87,0,87,2023-09-01
AFRICA,Comoros,2023,Oct,74,0,74,2023-10-01
AFRICA,Comoros,2023,Nov,68,0,68,2023-11-01
AFRICA,Comoros,2023,Dec,41,0,41,2023-12-01
AFRICA,Congo,2023,Jan,14,0,14,2023-01-01
AFRICA,Congo,2023,Feb,20,0,20,2023-02-01
AFRICA,Congo,2023,Mar,25,0,25,2023-03-01
AFRICA,Congo,2023,Apr,12,0,12,2023-04-01
AFRICA,Congo,2023,May,13,0,13,2023-05-01
AFRICA,Congo,2023,Jun,32,0,32,2023-06-01
AFRICA,Congo,2023,Jul,47,0,47,2023-07-01
AFRICA,Congo,2023,Aug,50,0,50,2023-08-01
AFRICA,Congo,2023,Sep,26,0,26,2023-09-01
AFRICA,Congo,2023,Oct,38,0,38,2023-10-01
AFRICA,Congo,2023,Nov,34,0,34,2023-11-01
AFRICA,Congo,2023,Dec,53,1,54,2023-12-01
AFRICA,Egypt,2023,Jan,44,0,44,2023-01-01
AFRICA,Egypt,2023,Feb,55,0,55,2023-02-01
AFRICA,Egypt,2023,Mar,26,1,27,2023-03-01
AFRICA,Egypt,2023,Apr,76,0,76,2023-04-01
AFRICA,Egypt,2023,May,86,0,86,2023-05-01
AFRICA,Egypt,2023,Jun,74,0,74,2023-06-01
AFRICA,Egypt,2023,Jul,74,0,74,2023-07-01
AFRICA,Egypt,2023,Aug,48,1,49,2023-08-01
AFRICA,Egypt,2023,Sep,70,0,70,2023-09-01
AFRICA,Egypt,2023,Oct,53,0,53,2023-10-01
AFRICA,Egypt,2023,Nov,66,1,67,2023-11-01
AFRICA,Egypt,2023,Dec,116,1,117,2023-12-01
AFRICA,Ethiopia,2023,Jan,23,0,23,2023-01-01
AFRICA,Ethiopia,2023,Feb,42,0,42,2023-02-01
AFRICA,Ethiopia,2023,Mar,6,1,7,2023-03-01
AFRICA,Ethiopia,2023,Apr,9,0,9,2023-04-01
AFRICA,Ethiopia,2023,May,9,0,9,2023-05-01
AFRICA,Ethiopia,2023,Jun,15,0,15,2023-06-01
AFRICA,Ethiopia,2023,Jul,35,0,35,2023-07-01
AFRICA,Ethiopia,2023,Aug,48,0,48,2023-08-01
AFRICA,Ethiopia,2023,Sep,27,0,27,2023-09-01
AFRICA,Ethiopia,2023,Oct,39,0,39,2023-10-01
AFRICA,Ethiopia,2023,Nov,15,0,15,2023-11-01
AFRICA,Ethiopia,2023,Dec,15,0,15,2023-12-01
AFRICA,Gabon,2023,Jan,2,0,2,2023-01-01
AFRICA,Gabon,2023,Feb,5,0,5,2023-02-01
AFRICA,Gabon,2023,Mar,2,0,2,2023-03-01
AFRICA,Gabon,2023,Apr,18,0,18,2023-04-01
AFRICA,Gabon,2023,May,6,0,6,2023-05-01
AFRICA,Gabon,2023,Jun,5,0,5,2023-06-01
AFRICA,Gabon,2023,Jul,18,0,18,2023-07-01
AFRICA,Gabon,2023,Aug,23,0,23,2023-08-01
AFRICA,Gabon,2023,Sep,3,0,3,2023-09-01
AFRICA,Gabon,2023,Oct,9,0,9,2023-10-01
AFRICA,Gabon,2023,Nov,9,0,9,2023-11-01
AFRICA,Gabon,2023,Dec,14,0,14,2023-12-01
AFRICA,Ghana,2023,Jan,56,0,56,2023-01-01
AFRICA,Ghana,2023,Feb,96,1,97,2023-02-01
AFRICA,Ghana,2023,Mar,81,5,86,2023-03-01
AFRICA,Ghana,2023,Apr,69,0,69,2023-04-01
AFRICA,Ghana,2023,May,93,0,93,2023-05-01
AFRICA,Ghana,2023,Jun,120,6,126,2023-06-01
AFRICA,Ghana,2023,Jul,103,0,103,2023-07-01
AFRICA,Ghana,2023,Aug,153,0,153,2023-08-01
AFRICA,Ghana,2023,Sep,86,0,86,2023-09-01
AFRICA,Ghana,2023,Oct,146,1,147,2023-10-01
AFRICA,Ghana,2023,Nov,132,1,133,2023-11-01
AFRICA,Ghana,2023,Dec,101,1,102,2023-12-01
AFRICA,IOC 3 countries,2023,Jan,19264,3,19267,2023-01-01
AFRICA,IOC 3 countries,2023,Feb,5853,3,5856,2023-02-01
AFRICA,IOC 3 countries,2023,Mar,13812,3,13815,2023-03-01
AFRICA,IOC 3 countries,2023,Apr,8255,1,8256,2023-04-01
AFRICA,IOC 3 countries,2023,May,16941,2,16943,2023-05-01
AFRICA,IOC 3 countries,2023,Jun,7258,5,7263,2023-06-01
AFRICA,IOC 3 countries,2023,Jul,18298,3,18301,2023-07-01
AFRICA,IOC 3 countries,2023,Aug,12441,5,12446,2023-08-01
AFRICA,IOC 3 countries,2023,Sep,7736,2,7738,2023-09-01
AFRICA,IOC 3 countries,2023,Oct,16973,3,16976,2023-10-01
AFRICA,IOC 3 countries,2023,Nov,8675,11,8686,2023-11-01
AFRICA,IOC 3 countries,2023,Dec,21261,10,21271,2023-12-01
AFRICA,Ivory Coast,2023,Jan,25,0,25,2023-01-01
AFRICA,Ivory Coast,2023,Feb,43,0,43,2023-02-01
AFRICA,Ivory Coast,2023,Mar,39,1,40,2023-03-01
AFRICA,Ivory Coast,2023,Apr,22,0,22,2023-04-01
AFRICA,Ivory Coast,2023,May,34,0,34,2023-05-01
AFRICA,Ivory Coast,2023,Jun,40,9,49,2023-06-01
AFRICA,Ivory Coast,2023,Jul,57,0,57,2023-07-01
AFRICA,Ivory Coast,2023,Aug,42,0,42,2023-08-01
AFRICA,Ivory Coast,2023,Sep,18,0,18,2023-09-01
AFRICA,Ivory Coast,2023,Oct,61,3,64,2023-10-01
AFRICA,Ivory Coast,2023,Nov,54,7,61,2023-11-01
AFRICA,Ivory Coast,2023,Dec,59,2,61,2023-12-01
AFRICA,Kenya,2023,Jan,146,0,146,2023-01-01
AFRICA,Kenya,2023,Feb,258,0,258,2023-02-01
AFRICA,Kenya,2023,Mar,234,1,235,2023-03-01
AFRICA,Kenya,2023,Apr,251,1,252,2023-04-01
AFRICA,Kenya,2023,May,290,0,290,2023-05-01
AFRICA,Kenya,2023,Jun,225,1,226,2023-06-01
AFRICA,Kenya,2023,Jul,359,0,359,2023-07-01
AFRICA,Kenya,2023,Aug,366,0,366,2023-08-01
AFRICA,Kenya,2023,Sep,276,0,276,2023-09-01
AFRICA,Kenya,2023,Oct,291,0,291,2023-10-01
AFRICA,Kenya,2023,Nov,285,1,286,2023-11-01
AFRICA,Kenya,2023,Dec,407,0,407,2023-12-01
AFRICA,Kingdom of Eswatini,2023,Jan,40,0,40,2023-01-01
AFRICA,Kingdom of Eswatini,2023,Feb,25,0,25,2023-02-01
AFRICA,Kingdom of Eswatini,2023,Mar,18,0,18,2023-03-01
AFRICA,Kingdom of Eswatini,2023,Apr,28,0,28,2023-04-01
AFRICA,Kingdom of Eswatini,2023,May,23,0,23,2023-05-01
AFRICA,Kingdom of Eswatini,2023,Jun,21,0,21,2023-06-01
AFRICA,Kingdom of Eswatini,2023,Jul,28,0,28,2023-07-01
AFRICA,Kingdom of Eswatini,2023,Aug,26,0,26,2023-08-01
AFRICA,Kingdom of Eswatini,2023,Sep,40,0,40,2023-09-01
AFRICA,Kingdom of Eswatini,2023,Oct,24,0,24,2023-10-01
AFRICA,Kingdom of Eswatini,2023,Nov,30,0,30,2023-11-01
AFRICA,Kingdom of Eswatini,2023,Dec,32,4,36,2023-12-01
AFRICA,Lesotho,2023,Jan,3,0,3,2023-01-01
AFRICA,Lesotho,2023,Feb,7,0,7,2023-02-01
AFRICA,Lesotho,2023,Mar,5,0,5,2023-03-01
AFRICA,Lesotho,2023,Apr,20,0,20,2023-04-01
AFRICA,Lesotho,2023,May,32,0,32,2023-05-01
AFRICA,Lesotho,2023,Jun,23,0,23,2023-06-01
AFRICA,Lesotho,2023,Jul,16,0,16,2023-07-01
AFRICA,Lesotho,2023,Aug,10,0,10,2023-08-01
AFRICA,Lesotho,2023,Sep,22,0,22,2023-09-01
AFRICA,Lesotho,2023,Oct,29,0,29,2023-10-01
AFRICA,Lesotho,2023,Nov,8,0,8,2023-11-01
AFRICA,Lesotho,2023,Dec,26,13,39,2023-12-01
AFRICA,Malagasy Republic,2023,Jan,1054,2,1056,2023-01-01
AFRICA,Malagasy Republic,2023,Feb,838,3,841,2023-02-01
AFRICA,Malagasy Republic,2023,Mar,1097,2,1099,2023-03-01
AFRICA,Malagasy Republic,2023,Apr,1159,1,1160,2023-04-01
AFRICA,Malagasy Republic,2023,May,1170,2,1172,2023-05-01
AFRICA,Malagasy Republic,2023,Jun,1063,4,1067,2023-06-01
AFRICA,Malagasy Republic,2023,Jul,1514,2,1516,2023-07-01
AFRICA,Malagasy Republic,2023,Aug,2231,5,2236,2023-08-01
AFRICA,Malagasy Republic,2023,Sep,1238,2,1240,2023-09-01
AFRICA,Malagasy Republic,2023,Oct,1721,3,1724,2023-10-01
AFRICA,Malagasy Republic,2023,Nov,1522,11,1533,2023-11-01
AFRICA,Malagasy Republic,2023,Dec,2131,2,2133,2023-12-01
AFRICA,Malawi,2023,Jan,17,0,17,2023-01-01
AFRICA,Malawi,2023,Feb,27,0,27,2023-02-01
AFRICA,Malawi,2023,Mar,17,0,17,2023-03-01
AFRICA,Malawi,2023,Apr,41,0,41,2023-04-01
AFRICA,Malawi,2023,May,67,0,67,2023-05-01
AFRICA,Malawi,2023,Jun,46,0,46,2023-06-01
AFRICA,Malawi,2023,Jul,48,0,48,2023-07-01
AFRICA,Malawi,2023,Aug,27,0,27,2023-08-01
AFRICA,Malawi,2023,Sep,49,0,49,2023-09-01
AFRICA,Malawi,2023,Oct,58,0,58,2023-10-01
AFRICA,Malawi,2023,Nov,31,0,31,2023-11-01
AFRICA,Malawi,2023,Dec,46,4,50,2023-12-01
AFRICA,Mayotte,2023,Jan,52,0,52,2023-01-01
AFRICA,Mayotte,2023,Feb,181,0,181,2023-02-01
AFRICA,Mayotte,2023,Mar,72,0,72,2023-03-01
AFRICA,Mayotte,2023,Apr,168,0,168,2023-04-01
AFRICA,Mayotte,2023,May,69,0,69,2023-05-01
AFRICA,Mayotte,2023,Jun,30,0,30,2023-06-01
AFRICA,Mayotte,2023,Jul,190,0,190,2023-07-01
AFRICA,Mayotte,2023,Aug,82,0,82,2023-08-01
AFRICA,Mayotte,2023,Sep,52,0,52,2023-09-01
AFRICA,Mayotte,2023,Oct,160,0,160,2023-10-01
AFRICA,Mayotte,2023,Nov,54,0,54,2023-11-01
AFRICA,Mayotte,2023,Dec,260,0,260,2023-12-01
AFRICA,Morocco,2023,Jan,49,0,49,2023-01-01
AFRICA,Morocco,2023,Feb,85,0,85,2023-02-01
AFRICA,Morocco,2023,Mar,57,0,57,2023-03-01
AFRICA,Morocco,2023,Apr,43,0,43,2023-04-01
AFRICA,Morocco,2023,May,70,0,70,2023-05-01
AFRICA,Morocco,2023,Jun,78,0,78,2023-06-01
AFRICA,Morocco,2023,Jul,93,0,93,2023-07-01
AFRICA,Morocco,2023,Aug,101,0,101,2023-08-01
AFRICA,Morocco,2023,Sep,65,0,65,2023-09-01
AFRICA,Morocco,2023,Oct,49,0,49,2023-10-01
AFRICA,Morocco,2023,Nov,52,0,52,2023-11-01
AFRICA,Morocco,2023,Dec,103,1,104,2023-12-01
AFRICA,Mozambique,2023,Jan,84,1,85,2023-01-01
AFRICA,Mozambique,2023,Feb,43,0,43,2023-02-01
AFRICA,Mozambique,2023,Mar,27,0,27,2023-03-01
AFRICA,Mozambique,2023,Apr,54,0,54,2023-04-01
AFRICA,Mozambique,2023,May,75,0,75,2023-05-01
AFRICA,Mozambique,2023,Jun,45,0,45,2023-06-01
AFRICA,Mozambique,2023,Jul,56,0,56,2023-07-01
AFRICA,Mozambique,2023,Aug,72,1,73,2023-08-01
AFRICA,Mozambique,2023,Sep,88,4,92,2023-09-01
AFRICA,Mozambique,2023,Oct,69,2,71,2023-10-01
AFRICA,Mozambique,2023,Nov,78,0,78,2023-11-01
AFRICA,Mozambique,2023,Dec,116,16,132,2023-12-01
AFRICA,Namibia,2023,Jan,89,0,89,2023-01-01
AFRICA,Namibia,2023,Feb,41,0,41,2023-02-01
AFRICA,Namibia,2023,Mar,101,0,101,2023-03-01
AFRICA,Namibia,2023,Apr,121,0,121,2023-04-01
AFRICA,Namibia,2023,May,187,1,188,2023-05-01
AFRICA,Namibia,2023,Jun,150,0,150,2023-06-01
AFRICA,Namibia,2023,Jul,94,0,94,2023-07-01
AFRICA,Namibia,2023,Aug,101,0,101,2023-08-01
AFRICA,Namibia,2023,Sep,167,2,169,2023-09-01
AFRICA,Namibia,2023,Oct,66,0,66,2023-10-01
AFRICA,Namibia,2023,Nov,75,2,77,2023-11-01
AFRICA,Namibia,2023,Dec,331,26,357,2023-12-01
AFRICA,Niger,2023,Jan,5,0,5,2023-01-01
AFRICA,Niger,2023,Feb,6,0,6,2023-02-01
AFRICA,Niger,2023,Mar,2,0,2,2023-03-01
AFRICA,Niger,2023,Apr,2,0,2,2023-04-01
AFRICA,Niger,2023,May,8,0,8,2023-05-01
AFRICA,Niger,2023,Jun,3,2,5,2023-06-01
AFRICA,Niger,2023,Jul,10,0,10,2023-07-01
AFRICA,Niger,2023,Aug,1,0,1,2023-08-01
AFRICA,Niger,2023,Sep,6,0,6,2023-09-01
AFRICA,Niger,2023,Oct,10,0,10,2023-10-01
AFRICA,Niger,2023,Nov,8,0,8,2023-11-01
AFRICA,Niger,2023,Dec,6,0,6,2023-12-01
AFRICA,Nigeria,2023,Jan,301,12,313,2023-01-01
AFRICA,Nigeria,2023,Feb,369,0,369,2023-02-01
AFRICA,Nigeria,2023,Mar,336,5,341,2023-03-01
AFRICA,Nigeria,2023,Apr,323,3,326,2023-04-01
AFRICA,Nigeria,2023,May,266,6,272,2023-05-01
AFRICA,Nigeria,2023,Jun,215,1,216,2023-06-01
AFRICA,Nigeria,2023,Jul,325,0,325,2023-07-01
AFRICA,Nigeria,2023,Aug,517,1,518,2023-08-01
AFRICA,Nigeria,2023,Sep,342,0,342,2023-09-01
AFRICA,Nigeria,2023,Oct,295,1,296,2023-10-01
AFRICA,Nigeria,2023,Nov,269,1,270,2023-11-01
AFRICA,Nigeria,2023,Dec,308,2,310,2023-12-01
AFRICA,Reunion Island,2023,Jan,17778,0,17778,2023-01-01
AFRICA,Reunion Island,2023,Feb,4616,0,4616,2023-02-01
AFRICA,Reunion Island,2023,Mar,12384,1,12385,2023-03-01
AFRICA,Reunion Island,2023,Apr,6557,0,6557,2023-04-01
AFRICA,Reunion Island,2023,May,15309,0,15309,2023-05-01
AFRICA,Reunion Island,2023,Jun,5795,0,5795,2023-06-01
AFRICA,Reunion Island,2023,Jul,16384,0,16384,2023-07-01
AFRICA,Reunion Island,2023,Aug,9595,0,9595,2023-08-01
AFRICA,Reunion Island,2023,Sep,6079,0,6079,2023-09-01
AFRICA,Reunion Island,2023,Oct,14864,0,14864,2023-10-01
AFRICA,Reunion Island,2023,Nov,6683,0,6683,2023-11-01
AFRICA,Reunion Island,2023,Dec,18176,1,18177,2023-12-01
AFRICA,Rwanda,2023,Jan,18,0,18,2023-01-01
AFRICA,Rwanda,2023,Feb,34,0,34,2023-02-01
AFRICA,Rwanda,2023,Mar,16,0,16,2023-03-01
AFRICA,Rwanda,2023,Apr,28,0,28,2023-04-01
AFRICA,Rwanda,2023,May,16,0,16,2023-05-01
AFRICA,Rwanda,2023,Jun,23,0,23,2023-06-01
AFRICA,Rwanda,2023,Jul,48,0,48,2023-07-01
AFRICA,Rwanda,2023,Aug,73,0,73,2023-08-01
AFRICA,Rwanda,2023,Sep,18,0,18,2023-09-01
AFRICA,Rwanda,2023,Oct,36,0,36,2023-10-01
AFRICA,Rwanda,2023,Nov,16,0,16,2023-11-01
AFRICA,Rwanda,2023,Dec,27,0,27,2023-12-01
AFRICA,Senegal,2023,Jan,14,0,14,2023-01-01
AFRICA,Senegal,2023,Feb,18,0,18,2023-02-01
AFRICA,Senegal,2023,Mar,6,1,7,2023-03-01
AFRICA,Senegal,2023,Apr,24,0,24,2023-04-01
AFRICA,Senegal,2023,May,11,0,11,2023-05-01
AFRICA,Senegal,2023,Jun,35,11,46,2023-06-01
AFRICA,Senegal,2023,Jul,35,0,35,2023-07-01
AFRICA,Senegal,2023,Aug,34,1,35,2023-08-01
AFRICA,Senegal,2023,Sep,17,0,17,2023-09-01
AFRICA,Senegal,2023,Oct,22,2,24,2023-10-01
AFRICA,Senegal,2023,Nov,49,4,53,2023-11-01
AFRICA,Senegal,2023,Dec,25,6,31,2023-12-01
AFRICA,Seychelles,2023,Jan,366,0,366,2023-01-01
AFRICA,Seychelles,2023,Feb,317,0,317,2023-02-01
AFRICA,Seychelles,2023,Mar,255,0,255,2023-03-01
AFRICA,Seychelles,2023,Apr,470,0,470,2023-04-01
AFRICA,Seychelles,2023,May,400,0,400,2023-05-01
AFRICA,Seychelles,2023,Jun,343,0,343,2023-06-01
AFRICA,Seychelles,2023,Jul,341,1,342,2023-07-01
AFRICA,Seychelles,2023,Aug,568,0,568,2023-08-01
AFRICA,Seychelles,2023,Sep,332,0,332,2023-09-01
AFRICA,Seychelles,2023,Oct,314,0,314,2023-10-01
AFRICA,Seychelles,2023,Nov,402,0,402,2023-11-01
AFRICA,Seychelles,2023,Dec,913,7,920,2023-12-01
AFRICA,"South Africa, Rep. of",2023,Jan,7198,165,7363,2023-01-01
