Year,Month,Earnings,Date
2018,Jan,6615000000,2018-01-01
2018,Feb,6060000000,2018-02-01
2018,Mar,5808000000,2018-03-01
2018,Apr,5631000000,2018-04-01
2018,May,5227555668.94954,2018-05-01
2018,Jun,4118000000,2018-06-01
2018,Jul,4401000000,2018-07-01
2018,Aug,4500916103.846922,2018-08-01
2018,Sep,3895000000,2018-09-01
2018,Oct,5440373878.18,2018-10-01
2018,Nov,5678457633.820001,2018-11-01
2018,Dec,6662000000,2018-12-01
