Continent,Country,Year,Month,Air,Sea,Total,Date
AFRICA,Algeria,2021,Jan,0,0,0,2021-01-01
AFRICA,Algeria,2021,Feb,0,0,0,2021-02-01
AFRICA,Algeria,2021,Mar,0,0,0,2021-03-01
AFRICA,Algeria,2021,Apr,0,0,0,2021-04-01
AFRICA,Algeria,2021,May,0,0,0,2021-05-01
AFRICA,Algeria,2021,Jun,0,0,0,2021-06-01
AFRICA,Algeria,2021,Jul,0,0,0,2021-07-01
AFRICA,Algeria,2021,Aug,2,0,2,2021-08-01
AFRICA,Algeria,2021,Sep,0,0,0,2021-09-01
AFRICA,Algeria,2021,Oct,6,0,6,2021-10-01
AFRICA,Algeria,2021,Nov,8,0,8,2021-11-01
AFRICA,Algeria,2021,Dec,4,0,4,2021-12-01
AFRICA,Angola,2021,Jan,0,1,1,2021-01-01
AFRICA,Angola,2021,Feb,0,0,0,2021-02-01
AFRICA,Angola,2021,Mar,0,0,0,2021-03-01
AFRICA,Angola,2021,Apr,0,0,0,2021-04-01
AFRICA,Angola,2021,May,0,0,0,2021-05-01
AFRICA,Angola,2021,Jun,0,0,0,2021-06-01
AFRICA,Angola,2021,Jul,2,1,3,2021-07-01
AFRICA,Angola,2021,Aug,2,0,2,2021-08-01
AFRICA,Angola,2021,Sep,4,0,4,2021-09-01
AFRICA,Angola,2021,Oct,10,0,10,2021-10-01
AFRICA,Angola,2021,Nov,8,0,8,2021-11-01
AFRICA,Angola,2021,Dec,0,1,1,2021-12-01
AFRICA,Benin,2021,Jan,0,0,0,2021-01-01
AFRICA,Benin,2021,Feb,0,0,0,2021-02-01
AFRICA,Benin,2021,Mar,0,0,0,2021-03-01
AFRICA,Benin,2021,Apr,0,0,0,2021-04-01
AFRICA,Benin,2021,May,0,0,0,2021-05-01
AFRICA,Benin,2021,Jun,0,0,0,2021-06-01
AFRICA,Benin,2021,Jul,0,0,0,2021-07-01
AFRICA,Benin,2021,Aug,0,0,0,2021-08-01
AFRICA,Benin,2021,Sep,0,0,0,2021-09-01
AFRICA,Benin,2021,Oct,3,0,3,2021-10-01
AFRICA,Benin,2021,Nov,5,0,5,2021-11-01
AFRICA,Benin,2021,Dec,0,0,0,2021-12-01
AFRICA,Botswana,2021,Jan,0,0,0,2021-01-01
AFRICA,Botswana,2021,Feb,0,0,0,2021-02-01
AFRICA,Botswana,2021,Mar,0,0,0,2021-03-01
AFRICA,Botswana,2021,Apr,0,0,0,2021-04-01
AFRICA,Botswana,2021,May,0,0,0,2021-05-01
AFRICA,Botswana,2021,Jun,0,0,0,2021-06-01
AFRICA,Botswana,2021,Jul,0,0,0,2021-07-01
AFRICA,Botswana,2021,Aug,0,0,0,2021-08-01
AFRICA,Botswana,2021,Sep,0,0,0,2021-09-01
AFRICA,Botswana,2021,Oct,14,0,14,2021-10-01
AFRICA,Botswana,2021,Nov,30,0,30,2021-11-01
AFRICA,Botswana,2021,Dec,1,0,1,2021-12-01
AFRICA,Burundi,2021,Jan,0,0,0,2021-01-01
AFRICA,Burundi,2021,Feb,0,0,0,2021-02-01
AFRICA,Burundi,2021,Mar,0,0,0,2021-03-01
AFRICA,Burundi,2021,Apr,0,0,0,2021-04-01
AFRICA,Burundi,2021,May,1,0,1,2021-05-01
AFRICA,Burundi,2021,Jun,0,0,0,2021-06-01
AFRICA,Burundi,2021,Jul,0,0,0,2021-07-01
AFRICA,Burundi,2021,Aug,0,0,0,2021-08-01
AFRICA,Burundi,2021,Sep,0,0,0,2021-09-01
AFRICA,Burundi,2021,Oct,2,0,2,2021-10-01
AFRICA,Burundi,2021,Nov,1,0,1,2021-11-01
AFRICA,Burundi,2021,Dec,0,0,0,2021-12-01
AFRICA,Cameroon,2021,Jan,6,0,6,2021-01-01
AFRICA,Cameroon,2021,Feb,2,0,2,2021-02-01
AFRICA,Cameroon,2021,Mar,1,0,1,2021-03-01
AFRICA,Cameroon,2021,Apr,0,0,0,2021-04-01
AFRICA,Cameroon,2021,May,0,0,0,2021-05-01
AFRICA,Cameroon,2021,Jun,0,0,0,2021-06-01
AFRICA,Cameroon,2021,Jul,14,0,14,2021-07-01
AFRICA,Cameroon,2021,Aug,12,0,12,2021-08-01
AFRICA,Cameroon,2021,Sep,10,0,10,2021-09-01
AFRICA,Cameroon,2021,Oct,14,0,14,2021-10-01
AFRICA,Cameroon,2021,Nov,23,0,23,2021-11-01
AFRICA,Cameroon,2021,Dec,21,0,21,2021-12-01
AFRICA,Comoros,2021,Jan,2,0,2,2021-01-01
AFRICA,Comoros,2021,Feb,0,0,0,2021-02-01
AFRICA,Comoros,2021,Mar,0,0,0,2021-03-01
AFRICA,Comoros,2021,Apr,0,0,0,2021-04-01
AFRICA,Comoros,2021,May,0,0,0,2021-05-01
AFRICA,Comoros,2021,Jun,0,0,0,2021-06-01
AFRICA,Comoros,2021,Jul,0,0,0,2021-07-01
AFRICA,Comoros,2021,Aug,0,0,0,2021-08-01
AFRICA,Comoros,2021,Sep,0,0,0,2021-09-01
AFRICA,Comoros,2021,Oct,31,0,31,2021-10-01
AFRICA,Comoros,2021,Nov,44,0,44,2021-11-01
AFRICA,Comoros,2021,Dec,8,0,8,2021-12-01
AFRICA,Congo,2021,Jan,0,0,0,2021-01-01
AFRICA,Congo,2021,Feb,3,0,3,2021-02-01
AFRICA,Congo,2021,Mar,0,0,0,2021-03-01
AFRICA,Congo,2021,Apr,0,0,0,2021-04-01
AFRICA,Congo,2021,May,0,0,0,2021-05-01
AFRICA,Congo,2021,Jun,0,0,0,2021-06-01
AFRICA,Congo,2021,Jul,0,0,0,2021-07-01
AFRICA,Congo,2021,Aug,6,0,6,2021-08-01
AFRICA,Congo,2021,Sep,1,0,1,2021-09-01
AFRICA,Congo,2021,Oct,15,0,15,2021-10-01
AFRICA,Congo,2021,Nov,18,0,18,2021-11-01
AFRICA,Congo,2021,Dec,30,0,30,2021-12-01
