Year,Month,Earnings,Date
2020,Jan,5995000000,2020-01-01
2020,Feb,4899000000,2020-02-01
2020,Mar,3250000000,2020-03-01
2020,Apr,808000000,2020-04-01
2020,May,748000000,2020-05-01
2020,Jun,383000000,2020-06-01
2020,Jul,414000000,2020-07-01
2020,Aug,195000000,2020-08-01
2020,Sep,215000000,2020-09-01
2020,Oct,222000000,2020-10-01
2020,Nov,254000000,2020-11-01
2020,Dec,281000000,2020-12-01
