Year,Month,Earnings,Date
2021,Jan,243000000,2021-01-01
2021,Feb,176000000,2021-02-01
2021,Mar,103000000,2021-03-01
2021,Apr,90000000,2021-04-01
2021,May,124000000,2021-05-01
2021,Jun,171000000,2021-06-01
2021,Jul,370000000,2021-07-01
2021,Aug,577000000,2021-08-01
2021,Sep,757000000,2021-09-01
2021,Oct,3044000000,2021-10-01
2021,Nov,4962000000,2021-11-01
2021,Dec,4636000000,2021-12-01
