Continent,Country,Year,Month,Air,Sea,Total,Date
AFRICA,Algeria,2022,Jan,8,0,8,2022-01-01
AFRICA,Algeria,2022,Feb,1,0,1,2022-02-01
AFRICA,Algeria,2022,Mar,13,0,13,2022-03-01
AFRICA,Algeria,2022,Apr,3,0,3,2022-04-01
AFRICA,Algeria,2022,May,14,0,14,2022-05-01
AFRICA,Algeria,2022,Jun,32,0,32,2022-06-01
AFRICA,Algeria,2022,Jul,26,0,26,2022-07-01
AFRICA,Algeria,2022,Aug,22,0,22,2022-08-01
AFRICA,Algeria,2022,Sep,18,0,18,2022-09-01
AFRICA,Algeria,2022,Oct,25,0,25,2022-10-01
AFRICA,Algeria,2022,Nov,23,0,23,2022-11-01
AFRICA,Algeria,2022,Dec,38,0,38,2022-12-01
AFRICA,Angola,2022,Jan,3,0,3,2022-01-01
AFRICA,Angola,2022,Feb,12,0,12,2022-02-01
AFRICA,Angola,2022,Mar,7,0,7,2022-03-01
AFRICA,Angola,2022,Apr,19,0,19,2022-04-01
AFRICA,Angola,2022,May,7,0,7,2022-05-01
AFRICA,Angola,2022,Jun,11,0,11,2022-06-01
AFRICA,Angola,2022,Jul,60,0,60,2022-07-01
AFRICA,Angola,2022,Aug,9,0,9,2022-08-01
AFRICA,Angola,2022,Sep,7,0,7,2022-09-01
AFRICA,Angola,2022,Oct,17,2,19,2022-10-01
AFRICA,Angola,2022,Nov,29,2,31,2022-11-01
AFRICA,Angola,2022,Dec,29,1,30,2022-12-01
AFRICA,Benin,2022,Jan,0,0,0,2022-01-01
AFRICA,Benin,2022,Feb,2,0,2,2022-02-01
AFRICA,Benin,2022,Mar,5,0,5,2022-03-01
AFRICA,Benin,2022,Apr,10,1,11,2022-04-01
AFRICA,Benin,2022,May,12,0,12,2022-05-01
AFRICA,Benin,2022,Jun,7,0,7,2022-06-01
AFRICA,Benin,2022,Jul,9,0,9,2022-07-01
AFRICA,Benin,2022,Aug,2,0,2,2022-08-01
AFRICA,Benin,2022,Sep,1,0,1,2022-09-01
AFRICA,Benin,2022,Oct,18,0,18,2022-10-01
AFRICA,Benin,2022,Nov,3,2,5,2022-11-01
AFRICA,Benin,2022,Dec,8,0,8,2022-12-01
AFRICA,Botswana,2022,Jan,13,0,13,2022-01-01
AFRICA,Botswana,2022,Feb,25,0,25,2022-02-01
AFRICA,Botswana,2022,Mar,40,0,40,2022-03-01
AFRICA,Botswana,2022,Apr,84,0,84,2022-04-01
AFRICA,Botswana,2022,May,88,0,88,2022-05-01
AFRICA,Botswana,2022,Jun,55,0,55,2022-06-01
AFRICA,Botswana,2022,Jul,64,0,64,2022-07-01
AFRICA,Botswana,2022,Aug,97,0,97,2022-08-01
AFRICA,Botswana,2022,Sep,130,0,130,2022-09-01
AFRICA,Botswana,2022,Oct,98,0,98,2022-10-01
AFRICA,Botswana,2022,Nov,76,0,76,2022-11-01
AFRICA,Botswana,2022,Dec,127,0,127,2022-12-01
AFRICA,Burundi,2022,Jan,2,0,2,2022-01-01
AFRICA,Burundi,2022,Feb,1,0,1,2022-02-01
AFRICA,Burundi,2022,Mar,3,0,3,2022-03-01
AFRICA,Burundi,2022,Apr,5,0,5,2022-04-01
AFRICA,Burundi,2022,May,5,0,5,2022-05-01
AFRICA,Burundi,2022,Jun,2,0,2,2022-06-01
AFRICA,Burundi,2022,Jul,4,0,4,2022-07-01
AFRICA,Burundi,2022,Aug,11,0,11,2022-08-01
AFRICA,Burundi,2022,Sep,4,0,4,2022-09-01
AFRICA,Burundi,2022,Oct,7,0,7,2022-10-01
AFRICA,Burundi,2022,Nov,6,0,6,2022-11-01
AFRICA,Burundi,2022,Dec,21,0,21,2022-12-01
AFRICA,Cameroon,2022,Jan,12,0,12,2022-01-01
AFRICA,Cameroon,2022,Feb,30,0,30,2022-02-01
AFRICA,Cameroon,2022,Mar,31,1,32,2022-03-01
AFRICA,Cameroon,2022,Apr,47,0,47,2022-04-01
AFRICA,Cameroon,2022,May,36,0,36,2022-05-01
AFRICA,Cameroon,2022,Jun,53,0,53,2022-06-01
AFRICA,Cameroon,2022,Jul,39,0,39,2022-07-01
AFRICA,Cameroon,2022,Aug,29,0,29,2022-08-01
AFRICA,Cameroon,2022,Sep,28,0,28,2022-09-01
AFRICA,Cameroon,2022,Oct,59,0,59,2022-10-01
AFRICA,Cameroon,2022,Nov,48,0,48,2022-11-01
AFRICA,Cameroon,2022,Dec,78,0,78,2022-12-01
AFRICA,Comoros,2022,Jan,30,0,30,2022-01-01
AFRICA,Comoros,2022,Feb,26,0,26,2022-02-01
AFRICA,Comoros,2022,Mar,27,0,27,2022-03-01
AFRICA,Comoros,2022,Apr,28,0,28,2022-04-01
AFRICA,Comoros,2022,May,39,0,39,2022-05-01
AFRICA,Comoros,2022,Jun,52,0,52,2022-06-01
AFRICA,Comoros,2022,Jul,59,0,59,2022-07-01
AFRICA,Comoros,2022,Aug,39,0,39,2022-08-01
AFRICA,Comoros,2022,Sep,35,0,35,2022-09-01
AFRICA,Comoros,2022,Oct,56,0,56,2022-10-01
AFRICA,Comoros,2022,Nov,67,0,67,2022-11-01
AFRICA,Comoros,2022,Dec,144,0,144,2022-12-01
AFRICA,Congo,2022,Jan,10,0,10,2022-01-01
AFRICA,Congo,2022,Feb,19,0,19,2022-02-01
AFRICA,Congo,2022,Mar,23,0,23,2022-03-01
AFRICA,Congo,2022,Apr,21,0,21,2022-04-01
AFRICA,Congo,2022,May,23,0,23,2022-05-01
AFRICA,Congo,2022,Jun,25,0,25,2022-06-01
AFRICA,Congo,2022,Jul,22,0,22,2022-07-01
AFRICA,Congo,2022,Aug,32,0,32,2022-08-01
AFRICA,Congo,2022,Sep,7,0,7,2022-09-01
AFRICA,Congo,2022,Oct,24,0,24,2022-10-01
AFRICA,Congo,2022,Nov,63,0,63,2022-11-01
AFRICA,Congo,2022,Dec,51,0,51,2022-12-01
AFRICA,Egypt,2022,Jan,20,0,20,2022-01-01
AFRICA,Egypt,2022,Feb,30,1,31,2022-02-01
AFRICA,Egypt,2022,Mar,80,0,80,2022-03-01
AFRICA,Egypt,2022,Apr,24,0,24,2022-04-01
AFRICA,Egypt,2022,May,104,0,104,2022-05-01
AFRICA,Egypt,2022,Jun,75,0,75,2022-06-01
AFRICA,Egypt,2022,Jul,95,1,96,2022-07-01
AFRICA,Egypt,2022,Aug,42,0,42,2022-08-01
AFRICA,Egypt,2022,Sep,47,0,47,2022-09-01
AFRICA,Egypt,2022,Oct,78,4,82,2022-10-01
AFRICA,Egypt,2022,Nov,67,0,67,2022-11-01
AFRICA,Egypt,2022,Dec,90,6,96,2022-12-01
AFRICA,Ethiopia,2022,Jan,5,0,5,2022-01-01
AFRICA,Ethiopia,2022,Feb,3,0,3,2022-02-01
AFRICA,Ethiopia,2022,Mar,5,0,5,2022-03-01
AFRICA,Ethiopia,2022,Apr,8,0,8,2022-04-01
AFRICA,Ethiopia,2022,May,18,0,18,2022-05-01
AFRICA,Ethiopia,2022,Jun,93,0,93,2022-06-01
AFRICA,Ethiopia,2022,Jul,25,0,25,2022-07-01
AFRICA,Ethiopia,2022,Aug,30,0,30,2022-08-01
AFRICA,Ethiopia,2022,Sep,17,0,17,2022-09-01
AFRICA,Ethiopia,2022,Oct,50,0,50,2022-10-01
AFRICA,Ethiopia,2022,Nov,23,0,23,2022-11-01
AFRICA,Ethiopia,2022,Dec,43,0,43,2022-12-01
AFRICA,Gabon,2022,Jan,2,0,2,2022-01-01
AFRICA,Gabon,2022,Feb,2,0,2,2022-02-01
AFRICA,Gabon,2022,Mar,3,0,3,2022-03-01
AFRICA,Gabon,2022,Apr,7,0,7,2022-04-01
AFRICA,Gabon,2022,May,4,0,4,2022-05-01
AFRICA,Gabon,2022,Jun,5,0,5,2022-06-01
AFRICA,Gabon,2022,Jul,15,0,15,2022-07-01
AFRICA,Gabon,2022,Aug,5,0,5,2022-08-01
AFRICA,Gabon,2022,Sep,6,0,6,2022-09-01
AFRICA,Gabon,2022,Oct,20,0,20,2022-10-01
AFRICA,Gabon,2022,Nov,10,1,11,2022-11-01
AFRICA,Gabon,2022,Dec,9,0,9,2022-12-01
AFRICA,Ghana,2022,Jan,19,0,19,2022-01-01
AFRICA,Ghana,2022,Feb,17,0,17,2022-02-01
AFRICA,Ghana,2022,Mar,42,1,43,2022-03-01
AFRICA,Ghana,2022,Apr,51,0,51,2022-04-01
AFRICA,Ghana,2022,May,66,0,66,2022-05-01
AFRICA,Ghana,2022,Jun,78,0,78,2022-06-01
AFRICA,Ghana,2022,Jul,89,0,89,2022-07-01
AFRICA,Ghana,2022,Aug,70,0,70,2022-08-01
AFRICA,Ghana,2022,Sep,57,0,57,2022-09-01
AFRICA,Ghana,2022,Oct,100,3,103,2022-10-01
AFRICA,Ghana,2022,Nov,66,3,69,2022-11-01
AFRICA,Ghana,2022,Dec,82,0,82,2022-12-01
AFRICA,Ivory Coast,2022,Jan,10,0,10,2022-01-01
AFRICA,Ivory Coast,2022,Feb,13,1,14,2022-02-01
AFRICA,Ivory Coast,2022,Mar,36,6,42,2022-03-01
AFRICA,Ivory Coast,2022,Apr,18,1,19,2022-04-01
AFRICA,Ivory Coast,2022,May,49,0,49,2022-05-01
AFRICA,Ivory Coast,2022,Jun,22,0,22,2022-06-01
AFRICA,Ivory Coast,2022,Jul,54,0,54,2022-07-01
AFRICA,Ivory Coast,2022,Aug,39,0,39,2022-08-01
AFRICA,Ivory Coast,2022,Sep,37,0,37,2022-09-01
AFRICA,Ivory Coast,2022,Oct,87,3,90,2022-10-01
AFRICA,Ivory Coast,2022,Nov,44,3,47,2022-11-01
AFRICA,Ivory Coast,2022,Dec,66,0,66,2022-12-01
AFRICA,Kenya,2022,Jan,72,0,72,2022-01-01
AFRICA,Kenya,2022,Feb,118,0,118,2022-02-01
AFRICA,Kenya,2022,Mar,164,2,166,2022-03-01
AFRICA,Kenya,2022,Apr,274,2,276,2022-04-01
AFRICA,Kenya,2022,May,167,0,167,2022-05-01
AFRICA,Kenya,2022,Jun,303,0,303,2022-06-01
AFRICA,Kenya,2022,Jul,331,0,331,2022-07-01
AFRICA,Kenya,2022,Aug,321,0,321,2022-08-01
AFRICA,Kenya,2022,Sep,167,0,167,2022-09-01
AFRICA,Kenya,2022,Oct,276,0,276,2022-10-01
AFRICA,Kenya,2022,Nov,264,0,264,2022-11-01
AFRICA,Kenya,2022,Dec,473,3,476,2022-12-01
