Year,Month,Earnings,Date
2024,Jan,9162000000,2024-01-01
2024,Feb,7382000000,2024-02-01
2024,Mar,7437000000,2024-03-01
2024,Apr,7833000000,2024-04-01
2024,May,7063000000,2024-05-01
2024,Jun,5525000000,2024-06-01
2024,Jul,6894000000,2024-07-01
2024,Aug,7208000000,2024-08-01
2024,Sep,6875000000,2024-09-01
2024,Oct,8391000000,2024-10-01
2024,Nov,9485000000,2024-11-01
2024,Dec,10319000000,2024-12-01
