Year,Month,Earnings,Date
2022,Jan,4343000000,2022-01-01
2022,Feb,3556000000,2022-02-01
2022,Mar,4640000000,2022-03-01
2022,Apr,4296000000,2022-04-01
2022,May,4309000000,2022-05-01
2022,Jun,4128000000,2022-06-01
2022,Jul,5128000000,2022-07-01
2022,Aug,5892000000,2022-08-01
2022,Sep,5315000000,2022-09-01
2022,Oct,6676000000,2022-10-01
2022,Nov,7834000000,2022-11-01
2022,Dec,8728000000,2022-12-01
