Year,Month,Earnings,Date
2023,Jan,8441000000,2023-01-01
2023,Feb,6452000000,2023-02-01
2023,Mar,7388000000,2023-03-01
2023,Apr,6632000000,2023-04-01
2023,May,6900000000,2023-05-01
2023,Jun,5888000000,2023-06-01
2023,Jul,6440000000,2023-07-01
2023,Aug,6537000000,2023-08-01
2023,Sep,6120000000,2023-09-01
2023,Oct,7714000000,2023-10-01
2023,Nov,8745000000,2023-11-01
2023,Dec,8736000000,2023-12-01
